State,Population_2018,Confirmed,Deaths,Asthma_Total,Asthma_Percent,Asthma_SE,Unemployed,Poverty,Median_Income,Adult_Binge_Drinking_Pct,Adult_Nutrition,Adult_Obesity,Adult_Physical_Activity,Adult_Smoking,Cancer_Death_Rate,Child_Vaccination_Coverage,State_Standardized_Infection_Ratios,Colorectal_Cancer_Screening_Pct ,Diagnosed_Diabetes_Pct,Diagnosed_High_Cholesterol_Pct,Diagnosed_Hypertension_Pct,Drug_Poisioning_Death_Rate,Heart_Disease_Death_Rate,Hepatitis_B_Cases,HIV_Diagnosis_Rate,Infant_Morality_Rate,Influenza_Vaccination_Coverage ,Medicated_Hypertension,Motor_Vehicle_Death_Rate,Observed_Seat_Belt_Use,Stroke_Death_Rate,Suicide_Death_Rate,Teen_Birth_Rate,Youth_Binge_Drinking,Youth_Marijuana_Use,Youth_Nutrition,Youth_Obesity,Youth_Physical_Activity,Youth_Seat_Belt_Use,Youth_Smoking,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020
Alabama,4887871,1233,32,394634,10.5,-0.52,3.9,16.8,49881,13,27.8,35.7,45.4,21.5,175.6,70.6,0.3,67.6,11.8,44.4,40.4,15.7,229.7,2.1,17.2,8.7,43.9,82.7,17.5,95.7,52.2,14.9,32,16.1,17.3,10.2,16.1,41.3,90.9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,10,10,23,27,32
Alaska,737438,143,3,50685,9.2,-0.78,6.6,11.1,74912,18.2,18.9,31.4,55.3,19,159.8,66.3,0.7,64.3,7.6,38.6,29.8,16,154.1,0.4,6.8,6.7,39.1,61.3,8.8,88.4,36.8,26.9,27.8,12.5,19,14.2,14,44.2,90.6,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3
Arizona,7171646,1715,32,545104,10,-0.54,4.8,14.1,59079,15.6,20.5,29,51.9,14.7,141.3,72.3,0.6,68.1,9.1,39.7,30.7,19,138.8,0.4,14.3,6.1,41.8,70.6,13.1,87.2,30.7,18.2,29.9,19,23.3,14.7,10.9,46.4,90.5,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,6,8,13,15,17,20,24,29,32
Arkansas,3013825,643,12,225853,9.8,-0.63,3.7,16.8,47094,15,28.1,35.7,41.2,23.6,185.4,66.6,0.5,64.6,11.5,42.4,38.7,13.8,223.2,1.2,13.8,7.5,46.2,79.1,17.8,74.4,46.8,19.1,39.5,16.3,17.8,13.4,18,43.3,89.6,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,6,7,8,10,12
California,39557045,10773,238,2607598,8.5,-0.34,4.2,12.8,75250,16.3,18.6,25,56.3,11,142.8,75,0.5,66.6,9.9,37.7,28.7,11.3,145.6,0.4,17.2,4.3,48,70.7,8.1,97.1,36.2,10.3,21.1,15.1,22.9,15.9,13.9,48.1,96.4,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,3,5,7,12,16,18,24,25,30,39,50,65,81,94,110,124,146,173,199,238
Colorado,5695564,3342,80,399357,9.1,-0.37,3.3,9.7,71949,19,17.8,22.3,60.4,15.6,134.4,75.4,0.5,69.3,6.9,34.8,26.3,15.4,128.4,0.5,9,4.8,49.9,69.2,10,82.4,34.9,19.5,20.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,4,4,6,6,7,8,16,19,27,31,47,47,69,69,80
Connecticut,3572665,3824,112,290278,10.3,-0.4,4.1,10.3,76366,16.7,19.5,26,50.9,13.4,146.2,80.6,0.6,76.1,8,37.8,31.3,22.1,147.8,0.2,10,4.8,52.7,76,7.4,85.1,28.5,9.9,11.5,14,20.4,12.8,12.3,45.3,91.7,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,8,10,12,19,21,27,33,34,36,69,85,112
Delaware,967171,393,12,77035,10.1,-0.62,3.8,12.2,65467,17,20.7,30.7,49.7,17.7,165.6,79.3,0.7,76.6,9.7,40.6,35.6,22,165.2,0.8,16.8,6.7,51.2,82.9,13.3,91.9,39.4,12.6,20.7,14.8,23.3,N/A,15.8,43.3,93.7,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,6,10,11,12
District of Columbia,702455,653,12,66441,11.6,-0.7,5.6,16.1,82533,25.5,19.1,22.6,57.7,14.7,167.5,76.3,0.7,70.3,9.1,34,28.4,18.6,187.6,N/A,66.9,7.5,48.3,73.6,3.4,93.2,38.3,4.9,28.4,8.3,28.7,12.1,15.1,30.5,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,3,3,4,5,9,9,9,12
Florida,21299325,9008,164,1495632,8.7,-0.47,3.6,13.7,55433,15.5,21.3,27.4,50.2,15.5,150.6,66.6,0.6,69.9,9.4,40.3,34.6,16.2,149.8,2.1,31.3,6.1,43.3,79.4,14.5,88.8,37.1,14.4,22.5,15.3,21.5,15.5,12.3,41.9,91.5,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,5,7,9,11,13,13,18,18,23,29,35,54,56,63,85,87,164
Georgia,10519475,5348,163,714569,8.9,-0.38,3.9,14.5,58634,13.4,24.7,31.4,50.8,17.9,163,75.6,0.7,69.8,11,38.1,35.1,12.7,180.2,1.2,27,7.5,42.8,77.7,14,97.3,45.3,12.7,28.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,10,14,20,25,25,32,40,48,64,69,80,87,111,139,163
Hawaii,1420491,256,1,104368,9.3,-0.46,2.4,9,80527,18.6,21.4,23.8,60.2,13,135.3,73.8,0.2,65.7,8.9,35,28.5,11.3,135.6,1,9.2,4.5,49.2,78.8,6.6,93.5,38.2,13.5,23.1,13.4,19.4,N/A,12.9,38.1,N/A,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Idaho,1754208,776,9,111954,8.6,-0.63,2.8,11.7,55524,16.1,18.7,27.4,53.9,14.5,153.6,71.6,0.3,66.4,7,38.4,29.4,14.2,156.4,0.5,2,5.3,39.5,71.9,13.1,80.2,36.3,22.1,23.2,15.6,17,11.3,11.1,53.1,94.3,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,6,8,9,9
Illinois,12741080,7695,163,860007,8.7,-0.47,4.3,12.1,65063,19.9,24.3,31.6,52.4,15.8,167.6,70.8,0.5,65.1,9.4,36.6,30.1,14.1,171.5,0.4,16.1,6.6,41.8,77.6,7.8,94.1,38.4,10.3,22.8,15.9,18.7,12.7,12.6,49.6,93.7,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,9,12,16,19,26,34,47,66,73,99,141,163
Indiana,6691878,3038,78,509651,10,-0.45,3.4,13,55725,17.5,26.7,32.5,44.1,21.1,176.3,74.7,0.7,65,9.7,39.8,33.5,19.5,182.3,2,9,7.1,43.6,79.7,12.4,90.2,39.1,14.4,28,17.4,16.4,9.8,13.6,46.5,94.1,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,6,7,12,14,17,25,31,32,35,49,65,78
Iowa,3156145,614,11,190960,7.9,-0.33,2.5,11.2,60071,21.2,26.9,32,47,16.7,164.1,77.9,0.5,71.1,8.3,41.1,31.4,10.3,160.9,0.5,4,4.8,51.3,78.1,10.2,92.8,33.2,13.9,19.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,6,7,9,11
Kansas,2911505,553,12,214698,9.8,-0.38,3.4,11.9,58150,16,22.3,31.2,49.1,17.2,164.6,75.2,0.6,67.8,9.5,38.1,31.3,11.8,158.5,0.7,5.8,6.2,43.9,78.5,12.2,85.7,38.6,16.3,27.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,7,8,9,10,12
Kentucky,4468402,770,31,395345,11.5,-0.59,4.3,16.7,50189,14.6,24.6,34.2,46,24.5,195.9,73,0.7,69.6,11.3,43.2,39.1,29.9,197.8,3.7,9.9,7.1,45,81.3,17.2,86.1,40.8,17.1,35.3,17.7,17.2,11.1,18.5,37,90.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,5,5,7,9,9,11,11,18,31
Louisiana,4659978,9159,310,316423,8.9,-0.64,4.9,18.7,48021,16.9,31,35.5,45.2,22.8,180.2,70.8,0.7,66.4,10.4,40.7,39.9,19,212.1,1.9,36.6,7.5,41.6,80.8,15.5,84.1,46,15.2,35.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,10,14,20,20,35,46,65,83,119,137,151,185,239,273,310
Maine,1338404,376,7,132126,12.3,-0.57,3.4,11.6,55579,18.3,18.3,29.9,53.6,19.8,178,71.8,0.7,78.1,7.8,39.7,33.3,21.2,157.3,0.7,5.2,6.6,49.9,79.6,11.7,85,32.6,16,16.5,11.7,19.9,N/A,13.3,41.2,93.7,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,7
Maryland,6042718,2331,36,439909,9.3,-0.36,3.9,9.1,83076,15.3,21.3,29.9,48.6,13.7,155,76.8,0.5,73,9.2,37,32.8,20.9,169.3,0.7,27.7,6.5,53.5,80.4,8.5,92.1,37.8,8.8,17.8,13.1,18.8,13.4,11.5,36.9,N/A,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,4,5,5,10,15,18,31,36
Massachusetts,6902149,8966,154,558435,10.2,-0.49,3.3,10,79817,17.8,18.3,23.6,54.5,13.6,152.9,78.5,0.5,77.9,8.8,36.5,29.4,25.7,138.5,0.4,12.8,4.3,50.3,75.8,4.5,76.6,28.4,8.9,10.6,17.7,24.5,12,11,45.2,N/A,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,11,15,25,35,44,48,56,89,122,154
Michigan,9995915,10791,417,872519,11.2,-0.41,4.1,14,56640,19,24.7,32.5,53.1,20.4,168,67.6,0.4,74.6,9,40.6,34.6,20.4,198.9,0.6,10,6.5,44.2,75.7,9.7,93.3,37.6,13.8,21.1,12.5,19.3,9.8,14.3,46,93.4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,9,15,24,43,61,92,111,132,184,259,335,417
